#{"t_start": 1767168425.75513, "env_id": "highway-v0"}
r,l,t
25.304811,32,8.025404
30.704929,40,16.462847
20.589147,29,25.280813
12.474253,15,30.296428
5.709746,7,32.128335
9.667764,13,35.001378
10.82172,12,37.061652
8.904494,12,39.21825
14.704114,20,53.375624
6.410596,8,61.948793
3.488673,5,63.532205
15.502808,17,258.927321
9.687251,12,260.93563
9.912666,12,262.732113
12.19322,15,266.359628
12.481263,15,269.924552
8.324195,11,271.74581
6.681354,9,272.94392
2.838645,4,273.517118
6.40432,8,274.921875
5.74839,7,276.485181
4.592029,6,278.143163
5.481329,7,281.206846
6.772519,8,282.876672
2.839885,4,283.601403
11.039185,13,285.876177
4.106674,6,287.123808
2.597942,4,287.99289
23.457179,26,293.144677
7.90094,10,294.581832
5.194768,7,295.645664
5.510329,7,296.986731
6.549582,8,298.809339
5.217553,7,300.749243
8.103117,10,1201.103696
10.682522,12,1204.015769
20.300267,24,1207.040054
5.747993,7,1207.627812
9.914972,12,1208.656036
1.97209,3,1208.921307
18.258926,20,1210.63178
2.794878,4,1211.018341
6.867103,8,1211.761501
9.458829,12,1213.232047
6.616306,8,1215.03421
6.794746,9,1217.714963
5.860177,7,1219.265697
4.643083,6,1220.372406
8.305149,10,1221.724755
5.690199,7,1222.664396
4.524955,6,1223.471511
11.030296,13,1225.929058
2.039988,3,1226.615132
5.771285,7,1228.647168
3.836594,5,1229.787728
9.039212,11,1231.996845
1.842386,3,1232.43003
12.612001,14,1234.172644
2.926978,4,1234.732573
2.039988,3,1235.215786
6.047185,7,1236.667146
1.108162,2,1237.110661
4.852534,6,1238.38134
3.705875,5,1239.459583
19.949721,22,1243.153543
3.648955,5,1243.789113
9.681171,11,1245.134156
16.904611,19,2146.514381
8.971278,10,2148.737382
12.39226,14,2150.445774
7.919186,10,2151.290775
16.039185,17,2152.797359
5.594742,7,2153.399778
11.237945,13,2154.530579
10.999485,12,2155.552473
10.719185,12,2156.584626
9.042866,11,2157.517403
4.905856,6,2158.025948
4.883634,6,2158.524722
8.758296,10,2159.404522
4.045171,5,2159.878086
8.905852,11,2160.836383
5.572519,7,2161.447442
3.682272,5,2161.883611
6.105857,8,2162.575946
1.973321,3,2162.852043
10.179556,12,2163.916353
3.039322,4,2164.272532
12.630296,14,2165.469921
8.239186,10,2166.316389
20.243079,23,2168.266851
3.305875,4,2168.610389
6.505852,8,2169.293343
2.794878,4,2169.63934
2.039988,3,2169.904965
2.022981,3,2170.168494
3.015863,4,2170.514477
5.771279,7,2171.113181
12.416963,14,2172.287015
5.039189,6,2172.810215
4.639855,6,2173.329978
21.377105,23,2175.353298
16.905852,18,2176.908516
2.904755,4,2177.254806
1.112026,2,2177.43197
5.072448,6,2177.947105
4.802741,6,2178.462636
7.839185,9,2179.237797
8.260167,9,2180.013251
2.950434,4,2180.367362
9.550296,11,2181.323904
2.20281,3,2181.590064
6.305852,7,2182.207158
11.336074,13,2183.318098
15.28363,17,2184.793322
2.039988,3,2185.072056
6.622948,8,2185.756964
10.985852,12,2186.79362
11.461408,13,2187.90236
5.728075,7,2188.51807
19.905852,21,2190.367247
3.99353,5,2190.824957
12.069408,13,2191.965387
21.016963,23,2726.80504
9.958296,11,2727.769112
14.68363,16,2729.141225
14.328074,16,2730.505983
7.839185,9,2731.286722
16.126834,18,2732.800132
9.816963,11,2733.728905
9.868475,11,2734.663837
7.872448,9,2735.426026
6.861408,8,2736.110248
23.141408,25,2738.245215
10.772519,12,2739.266867
20.171278,22,2741.157769
15.661408,17,2742.596568
6.505852,8,2743.275916
21.839185,24,2745.289923
5.728075,7,2745.884322
7.872448,9,2746.647768
16.239185,18,2748.190033
13.728074,15,2749.479862
7.504612,9,2750.24335
11.928637,13,2751.405237
1.164238,2,2751.584997
2.772656,4,2751.927211
1.203144,2,2752.104398
15.11292,16,2753.564466
5.845171,7,2754.247096
3.039322,4,2754.625822
3.705875,5,2755.063022
15.550296,17,2756.540054
1.253127,2,2756.718402
8.861408,10,2757.670646
2.039988,3,2757.959312
1.973321,3,2758.252224
2.119289,3,2758.525795
2.00281,3,2758.794903
4.072447,5,2759.227444
7.039185,8,2759.92979
10.639205,12,2760.957137
2.215863,3,2761.219034
